ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;investimentosoutrosinvestimentosbensdecapital;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
T1_1401;T1;1401;ABRANTES;4633718,39;3767595,19;1657555,49;1380168,47;44527,8;685343,43;473688,08;2455,45;290916,77;18521,09;54824,37;106970,4;392435,12
T1_0101;T1;0101;ÁGUEDA;6574129,65;3967567,94;1592755,63;1683286,96;4312,56;687212,79;2286879,96;23294;688424,85;204661,77;1211130,74;159368,6;319681,75
T1_0901;T1;0901;AGUIAR DA BEIRA;1310045;1014430,2;401508,71;442207,63;9280,41;161433,45;230212,41;533,6;46745,16;66212,1;50966,53;65755,02;65402,39
T1_0701;T1;0701;ALANDROAL;2565547,49;1744890,61;825433,27;656214,3;183406,29;79836,75;358933,08;0;44205,07;11300;216503,12;86924,89;461723,8
T1_0102;T1;0102;ALBERGARIA-A-VELHA;2744307,82;2003125,19;896424,88;967478,79;29534,58;109686,94;498709,7;160000;74078,47;0;58496,75;206134,48;242472,93
T1_0801;T1;0801;ALBUFEIRA;8378113,56;7016717,23;4716964,97;1700308,3;114221,9;485222,06;650477,46;0;442261,3;10968,53;107128,14;90119,49;710918,87
T1_1501;T1;1501;ALCÁCER DO SAL;3607187,91;3126677,23;1397676,63;978591,14;10535,43;739874,03;415106,22;0;2576,91;29483,9;372194,81;10850,6;65404,46
T1_1402;T1;1402;ALCANENA;2083074,55;1654143,85;668042,78;683195,11;90457,66;212448,3;295000,03;2194,52;125599,19;0;92383,74;74822,58;133930,67
T1_1001;T1;1001;ALCOBAÇA;4726453,47;3923858,22;1557651,85;1990860,27;16110,7;359235,4;357374,06;0;195678,32;13127,96;40572,06;107995,72;445221,19
T1_1502;T1;1502;ALCOCHETE;1942956,19;1872899,62;1509764,73;279883,84;4477,59;78773,46;29156,37;0;2815,01;0;24822,58;1518,78;40900,2
