ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;investimentosoutrosinvestimentosbensdecapital;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
T1_1401;T1;1401;ABRANTES;5153364.89;3237115.25;1543353.66;1149369.66;88451.22;455940.71;1413770.24;0;1176298.57;139502.17;33495.7;64473.8;502479.4
T1_0101;T1;0101;ÁGUEDA;5457786.27;3807817.7;1542051.17;1802409.69;566.91;462789.93;1529346.24;63616;936890.78;188324.1;218737.88;121777.48;120622.33
T1_0901;T1;0901;AGUIAR DA BEIRA;1349657.94;886980.19;392716.46;340425.99;31267.77;122569.97;338918.64;4054.97;35448.35;3791.39;247362.51;48261.42;123759.11
T1_0701;T1;0701;ALANDROAL;1826693.5;1328224.34;758186.13;451212.45;19348.25;99477.51;412958.38;0;391053.33;0;3338.67;18566.38;85510.78
T1_0102;T1;0102;ALBERGARIA-A-VELHA;2968797.32;1909977.01;933275.89;853783.1;48023.75;74894.27;986295.6;0;411560.59;0;49454.9;525280.11;72524.71
T1_0801;T1;0801;ALBUFEIRA;10574040.81;9283047.79;4723865.89;3478019.16;189964.36;891198.38;740148.64;6150.68;468503.46;13068.75;98847.97;153577.78;550844.38
T1_1501;T1;1501;ALCÁCER DO SAL;3344897.76;2928816.58;1316060.18;993994.64;14545.48;604216.28;289696.18;39.24;48091.14;1887.93;170561.94;69115.93;126385
T1_1402;T1;1402;ALCANENA;1737677.86;1243566.12;662881.34;300496.25;66323.98;213864.55;356994.15;47552.49;19108.05;1504.39;232806.29;56022.93;137117.59
T1_1001;T1;1001;ALCOBAÇA;5335414.11;4056687.41;1472344.3;2105908.24;71267.45;407167.42;648273.03;0;535846.84;8286.7;22719.23;81420.26;630453.67
T1_1502;T1;1502;ALCOCHETE;2829245.81;1995185.26;1525360.61;368847.18;27081.09;73896.38;704187.85;10000;660714.26;420;5490.08;27563.51;129872.7
