codigo;entidade;tipoentidade;nif;rua;localidade;codigopostal;descrpostal;email;telefone;fax;sitio;presidentecamara;areaha;populacao;eleitores;codigoine
2552;ABRANTES;Município;502661038;Praça Raimundo Soares;ABRANTES;2200-366;ABRANTES;municipe@cm-abrantes.pt;241330100;241330186;www.cm-abrantes.pt;Maria do Céu de Oliveira Antunes Albuquerque;714.72;39325;36807;1401
2553;ÁGUEDA;Município;501090436;Praça do Município;ÁGUEDA;3754-500;ÁGUEDA;geral@cm-agueda.pt;234610070;234610078;www.cm-agueda.pt;Gil Nadais Resende da Fonseca;335.27;47729;43744;101
2554;AGUIAR DA BEIRA;Município;506809307;Avenida da Liberdade, N.º 21;AGUIAR DA BEIRA;3570-018;AGUIAR DA BEIRA;geral@cm-aguiardabeira.pt;232689100;232688894;www.cm-aguiardabeira.pt;Joaquim António Marques Bonifácio;206.77;5473;6616;901
2555;ALANDROAL;Município;506772527;Praça da República;Alandroal;7250-116;ALANDROAL;cm-alandroal@mail.telepac.pt;268440040;268440041;www.cm-alandroal.pt; Mariana Rosa Gomes Chilra;542.67;5843;5521;701
2556;ALBERGARIA-A-VELHA;Município;506783146;Praça Ferreira Tavares;ALBERGARIA-A-VELHA;3850-053;ALBERGARIA-A-VELHA;geral@cm-albergaria.pt;234529300;234522225;www.cm-albergaria.pt;António Augusto Amaral Loureiro e Santos;158.83;25252;22089;102
2557;ALBUFEIRA;Município;503539473;Rua do Município;ALBUFEIRA;8200-863;ALBUFEIRA;geral@cm-albufeira.pt;289599500;289599511;www.cm-albufeira.pt;Carlos Eduardo da Silva e Sousa;140.57;40828;28788;801
2558;ALCÁCER DO SAL;Município;502150319;Praça Pedro Nunes;ALCÁCER DO SAL;7580-125;ALCÁCER DO SAL;gab.financeiro@m-alcacerdosal.pt;265610040;265610042;www.cm-alcacerdosal.pt;Vítor Manuel Chaves de Caro Proença;1499.97;13046;11983;1501
2559;ALCANENA;Município;500745773;Praça 8 de Maio;ALCANENA;2380-037;ALCANENA;geral@cm-alcanena.pt;249889010;249891357;www.cm-alcanena.pt;Fernanda Maria Pereira Asseiceira;127.33;13868;13031;1402
2560;ALCOBAÇA;Município;506874249;Praça João De Deus Ramos;ALCOBAÇA;2461-501;ALCOBAÇA;cmalcobaca@cm-alcobaca.pt;262580800;262580850;www.cm-alcobaca.pt;Paulo Jorge Marques Inácio;408.14;56676;49167;1001
2561;ALCOCHETE;Município;506788490;Largo de S. João Batista;ALCOCHETE;2890-108;ALCOCHETE;geral@cm-alcochete.pt;212348600;212348690;www.cm-alcochete.pt;Luis Miguel Carraça Franco;128.37;17569;12277;1502
2562;ALCOUTIM;Município;506772446;Rua do Município, N.º 12;ALCOUTIM;8970-066;ALCOUTIM;geral@cm-alcoutim.pt;281540500;281546363;www.cm-alcoutim.pt;Osvaldo dos Santos Gonçalves;575.35;2917;3147;802
2563;ALENQUER;Município;501305734;Praça Luís de Camões;ALENQUER;2580-317;ALENQUER;geral@cm-alenquer.pt;263730900;263711504;www.cm-alenquer.pt;Pedro Miguel Ferreira Folgado;304.22;43267;33214;1101
2564;ALFÂNDEGA DA FÉ;Município;506647498;Rua Camilo Mendonça;ALFÂNDEGA DA FÉ;5350-045;ALFÂNDEGA DA FÉ;gabinetepresidencia.cmaf@gmail.com;279468120;279463132;www.cm-alfandegadafe.pt;Berta ferreira Milheiro Nunes;321.99;5104;6091;401
2565;ALIJÓ;Município;506859487;Rua General Pedrosa, N.º 13;ALIJÓ;5070-051;ALIJÓ;geral@cm-alijo.pt;259957100;259959738;www.cm-alijo.pt;Carlos Jorge Vilela da Rocha Magalhães;297.6;11942;13982;1701
2566;ALJEZUR;Município;505932512;Rua Capitão Salgueiro Maia;ALJEZUR;8670-005;ALJEZUR;geral@cm-aljezur.pt;282990010;282990011;www.cm-aljezur.pt;José Manuel Velhinho Amarelinho;323.51;5884;4421;803
2567;ALJUSTREL;Município;501122486;Avenida 1º de Maio;ALJUSTREL;7600-010;ALJUSTREL;geral@mun-aljustrel.pt;284600070;284602055;www.mun-aljustrel.pt;Nelson Domingos Brito;458.29;9257;9151;201
2568;ALMADA;Município;500051054;Largo Luís de Camões;Almada;2800-158;ALMADA;gab.presidencia@cm-almada.pt;212724534;212724555;www.cm-almada.pt;Joaquim Estêvão Miguel Judas;70.2;174030;146849;1503
2569;ALMEIDA;Município;506625419;Praça da Liberdade, N.º 8;ALMEIDA;6350-130;ALMEIDA;camara@cm-almeida.pt;271570020;271570021;www.cm-almeida.pt;António Baptista Ribeiro;517.98;7228;8671;902
2570;ALMEIRIM;Município;501273433;Rua 5 de Outubro;ALMEIRIM;2080-052;ALMEIRIM;geral@cm-almeirim.pt;243594100;243594138;www.cm-almeirim.pt;Pedro Miguel César Ribeiro;222.09;23376;19670;1403
2571;ALMODÔVAR;Município;506816184;Rua Serpa Pinto, N.º 10;ALMODÔVAR;7700-081;ALMODÔVAR;geral@cm-almodovar.pt;286660600;286662282;www.cm-almodovar.pt;António Manuel Ascenção Mestre Bota;777.88;7449;7411;202
2572;ALPIARÇA;Município;501133097;Rua José Relvas, N.º 374,   Apartado 25;ALPIARÇA;2094-909;ALPIARÇA;gap@cm-alpiarca.pt;243559100;243559105;www.cm-alpiarca.pt;Mário Fernando Atracado Pereira;95.37;7702;6577;1404
2573;ALTER DO CHÃO;Município;501132872;Largo do Município, N.º 2;ALTER DO CHÃO;7440-026;ALTER DO CHÃO;geral@cm-alter-chao.pt;245610000;245612431;www.cm-alter-chao.pt;Joviano Martins Vitorino;362.01;3562;3338;1201
2574;ALVAIÁZERE;Município;506605949;Praça do Município;ALVAIÁZERE;3250-100;ALVAIÁZERE;geral@cm-alvaiazere.pt;236650600;236650609;www.cm-alvaiazere.pt;Paulo Tito Delgado Morgado;160.48;7287;7408;1002
2575;ALVITO;Município;501288120;Largo do Relógio, N.º 1;ALVITO;7920-022;ALVITO;geral@cm-alvito.pt;284480800;284485157;www.cm-alvito.pt;António João Feio Valério;264.82;2504;2125;203
2576;AMADORA;Município;505456010;Av. Movimento das Forças Armadas;AMADORA;2700-595;AMADORA;geral@cm-amadora.pt;214369000;214922082;www.cm-amadora.pt;Carla Maria Nunes Tavares;23.78;175135;146150;1115
2577;AMARANTE;Município;501102752;Alameda Teixeira de Pascoaes;AMARANTE;4600-011;AMARANTE;contabilidade@cm-amarante.pt;255420200;255420201;www.cm-amarante.pt;José Luís Gaspar Jorge;301.33;56217;53782;1301
2578;AMARES;Município;506797627;Largo do Município;AMARES;4720-058;AMARES;geral@municipioamares.pt;253993761;253992643;www.cm-amares.pt;Manuel da Rocha Moreira;81.95;18889;18947;301
2579;ANADIA;Município;501294163;Praça do Município - Apartado 19;ANADIA;3780-909;ANADIA;geral@cm-anadia.pt;231510730;231510749;www.cm-anadia.pt;Maria Teresa Belém Correia Cardoso;216.63;29121;28777;103
2580;ANGRA DO HEROÍSMO;Município;512044040;Praça Velha;ANGRA DO HEROÍSMO;9701-857;ANGRA DO HEROÍSMO;angra@cm-ah.pt;295401700;295212107;www.cm-ah.pt;José Gabriel do Álamo de Meneses;239;35402;31798;4301
2581;ANSIÃO;Município;506605930;Praça do Município;ANSIÃO;3240-153;ANSIÃO;geral@cm-ansiao.pt;236670200;236677481;www.cm-ansiao.pt;Rui Alexandre Novo e Rocha;176.15;13128;12626;1003
2582;ARCOS DE VALDEVEZ;Município;505211696;Praça Municipal;ARCOS DE VALDEVEZ;4974-003;ARCOS DE VALDEVEZ;geral@cmav.pt;258520500;258520509;www.cmav.pt;João Manuel do Amaral Esteves;447.6;22847;28845;1601
2583;ARGANIL;Município;506833232;Praça Simões Dias, Apartado 10;ARGANIL;3304-954;ARGANIL;geral@cm-arganil.pt;235200150;235200158;www.cm-arganil.pt;Ricardo João Barata Pereira Alves;332.84;12060;11814;601
2584;ARMAMAR;Município;506843190;Praça da República;ARMAMAR;5110-127;ARMAMAR;"geral@cm-armamar.pt;afernandes@cm-armamar.pt";254241129;;www.cm-armamar.pt;João Paulo Soares Carvalho Pereira da Fonseca;117.24;6297;6902;1801
2585;AROUCA;Município;506808122;Praça do Município;AROUCA;4540-001;AROUCA;geral@cm-arouca.pt;256940220;256943045;www.cm-arouca.pt;José Artur Tavares Neves;329.11;22359;21380;104
2586;ARRAIOLOS;Município;501258027;Praça do Município, N.º 27;ARRAIOLOS;7040-027;ARRAIOLOS;geral@cm-arraiolos.pt;266490240;266490257;www.cm-arraiolos.pt;Sílvia Cristina Tirapicos Pinto;683.79;7363;6382;702
2587;ARRONCHES;Município;501155996;Praça da República,  Apartado 8;ARRONCHES;7340-012;ARRONCHES;geral@cm-arronches.pt;245580080;245580081;www.cm-arronches.pt;Fermelinda de Jesus Pombo Carvalho;314.75;3119;2895;1202
2588;ARRUDA DOS VINHOS;Município;505307685;Largo Miguel Bombarda;ARRUDA DOS VINHOS;2630-112;ARRUDA DOS VINHOS;cm-arruda@cm-arruda.pt;263977000;263976586;www.cm-arruda.pt;André Filipe dos Santos Matos Rijo;77.95;13391;9399;1102
2589;AVEIRO;Município;505931192;Praça da República, Apartado 244;AVEIRO;3810-156;AVEIRO;geral@cm-aveiro.pt;234406300;234406301;www.cm-aveiro.pt;José Agostinho Ribau Esteves;197.47;78450;67084;105
2590;AVIS;Município;502789824;Largo Cândido dos Reis - Apartado 25;AVIS;7480-116;AVIS;geral@cm-avis.pt;242410060;242410099;www.cm-avis.pt;Nuno Paulo Augusto da Silva;605.96;4559;4086;1203
2591;AZAMBUJA;Município;506821480;Praça do Município, N.º 19;AZAMBUJA;2050-315;AZAMBUJA;geral@cm-azambuja.pt;263400400;263401271;www.cm-azambuja.pt;Luís Manuel Abreu de Sousa;262.65;21814;17319;1103
2592;BAIÃO;Município;506854299;Praça Heróis do Ultramar;BAIÃO;4640-158;BAIÃO;geral@cm-baiao.pt;255540500;255540510;www.cm-baiao.pt;José Luis Pereira Carneiro;174.52;20522;19338;1302
2593;BARCELOS;Município;505584760;Largo do Município;BARCELOS;4750-323;BARCELOS;geral@cm-barcelos.pt;253809600;253821263;www.cm-barcelos.pt;Miguel Jorge da Costa Gomes;378.9;120391;105463;302
2594;BARRANCOS;Município;501081216;Praça do Município, N.º 2;BARRANCOS;7230-030;BARRANCOS;geral@cm-barrancos.pt;285950630;285950638;www.cm-barrancos.pt;António Pica Tereno;168.42;1834;1562;204
2595;BARREIRO;Município;506673626;Rua Miguel Bombarda;BARREIRO;2830-355;BARREIRO;geral@cm-barreiro.pt;212068000;212068001;www.cm-barreiro.pt;Carlos Humberto Palácios Pinheiro de Carvalho;36.41;78764;71652;1504
2596;BATALHA;Município;501290206;Rua Infante D. Fernando;BATALHA;2440-118;BATALHA;geral@cm-batalha.pt;244769110;244769111;www.cm-batalha.pt;Paulo Jorge Frazão Batista dos Santos;103.41;15805;13528;1004
2597;BEJA;Município;504884620;Praça da República;BEJA;7800-427;BEJA;geral@cm-beja.pt;284311800;284322300;www.cm-beja.pt;João Manuel Rocha da Silva;1147.13;35854;30852;205
2598;BELMONTE;Município;506695956;Rua Pedro Álvares Cabral, N.º 135;Belmonte;6250-088;BELMONTE;cmbelmonte@mail.telepac.pt;275910010;275910019;www.cm-belmonte.pt;António Pinto Dias Rocha;118.76;6859;6600;501
2599;BENAVENTE;Município;506676056;Praça do Município;BENAVENTE;2130-038;BENAVENTE;gap@cm-benavente.pt;263519600;263519648;www.cm-benavente.pt;Carlos António Pinto Coutinho;521.41;29019;21091;1405
2600;BOMBARRAL;Município;506800580;Largo do Município;BOMBARRAL;2540-046;BOMBARRAL;geral@cm-bombarral.pt;262609020;262609041;www.cm-bombarral.pt;José Manuel Gonçalves Vieira;91.28;13193;12292;1005
2601;BORBA;Município;503956546;Praça da República;BORBA;7150-249;BORBA;presidencia@cm-borba.pt;268891630;268894806;www.cm-borba.pt;António José Lopes Anselmo;145.19;7333;6605;703
2602;BOTICAS;Município;506886964;Praça do Município;BOTICAS;5460-304;BOTICAS;municipio@cm-boticas.pt;276410200;276410201;www.cm-boticas.pt;Fernando Eirão Queiroga;321.96;5750;7597;1702
2603;BRAGA;Município;506901173;Praça do Município;BRAGA;4704-514;BRAGA;gab.presidencia@cm-braga.pt;253203150;253613387;www.cm-braga.pt;Ricardo Bruno Antunes Machado Rio;183.4;181474;149427;303
2604;BRAGANÇA;Município;506215547;Forte S. João de Deus;BRAGANÇA;5301-902;BRAGANÇA;cmb@cm-braganca.pt;273304200;273304299;www.cm-braganca.pt;Hernâni Dinis Venâncio Dias;1173.57;35341;36620;402
2606;CABECEIRAS DE BASTO;Município;505330334;Praça da República N.º 467;CABECEIRAS DE BASTO;4860-355;CABECEIRAS DE BASTO;servicoatendimentounico@cabeceirasdebasto.pt;253669100;253662726;www.cm-cabeceiras-basto.pt;Serafim China Pereira;241.82;16710;17048;304
2607;CADAVAL;Município;505763621;Rua Dr. Francisco Sá Carneiro;CADAVAL;2550-103;CADAVAL;geral@cm-cadaval.pt;262690100;262695270;www.cm-cadaval.pt;José Bernardo Nunes;174.91;14228;12592;1104
2608;CALDAS DA RAINHA;Município;501222634;Praça 25 de Abril;CALDAS DA RAINHA;2500-110;CALDAS DA RAINHA;geral@cm-caldas-rainha.pt;262839700;262839729;www.cm-caldas-rainha.pt;Fernando Manuel Tinta Ferreira;255.71;51729;43290;1006
3500;CALHETA (MADEIRA);Município;511233639;Avenida Dom Manuel I, N.º 46;Calheta;9370-135;CALHETA;camara@cmcalheta.pt;291820200;291823235;www.cm-calheta-madeira.com;Carlos Manuel Figueira de Ornelas Teles;111.5;11521;12523;3101
2609;CALHETA (SÃO JORGE);Município;512074089;Rua 25 de Abril;CALHETA (SÃO JORGE);9850-032;CALHETA (SÃO JORGE);scrf@cm-calheta.pt;295416324;295416437;www.cm-calheta.pt;Décio Natálio Almada Pereira;126.26;3773;3777;4501
2605;CÂMARA DE LOBOS;Município;511233620;Praça da Autonomia;CÂMARA DE LOBOS;9304-001;CÂMARA DE LOBOS;"geral@cm-camaradelobos.pt;ct@cm-camaradelobos.pt";291911080;291944499;www.cm-camaradelobos.pt;Pedro Emanuel Abreu Coelho;52.14;35666;31035;3102
2610;CAMINHA;Município;500843139;Praça Conselheiro Silva Torres;CAMINHA;4910-122;CAMINHA;geral@cm-caminha.pt;258710300;258710319;www.cm-caminha.pt;Luís Miguel da Silva Mendonça Alves;136.44;16684;16573;1602
2611;CAMPO MAIOR;Município;501175229;Praça da República;CAMPO MAIOR;7370-954;CAMPO MAIOR;geral@cm-campo-maior.pt;268680300;268688937;www.cm-campo-maior.pt;Ricardo Miguel Furtado Pinheiro;247.19;8456;7582;1204
