ldk;codigoperiodo;codigoine;dscautarquia;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas
T1_1401;T1;1401;ABRANTES;5551328.25;2697351;80219.97;675191.48;70321.9;280692.96;194859.79;57445.2;71871.63;1680673.01;417892.79
T1_0101;T1;0101;ÁGUEDA;4770559.97;1980895;487498.18;848129.16;180002.21;154548.04;283519.1;132803.45;97256.36;786489.3;667548.33
T1_0901;T1;0901;AGUIAR DA BEIRA;1515900.5;1169672;120731.05;30062.75;1766.07;2453.53;11514.46;0;14328.69;176495.97;18938.73
T1_0701;T1;0701;ALANDROAL;1907161.22;1234376;60365.42;61497.72;5523;25545.5;23750.94;2767.35;3910.93;331320.41;219601.67
T1_0102;T1;0102;ALBERGARIA-A-VELHA;3758277.41;1358982;0;621419.55;67481.48;130293.32;151204.75;224071.36;48368.64;1556063.66;221812.2
T1_0801;T1;0801;ALBUFEIRA;12493406.86;1230462;11450.29;4768879.05;1422873.34;2104585.12;342044.74;97305.1;802070.75;5228802.33;1253813.19
T1_1501;T1;1501;ALCÁCER DO SAL;4093057.11;2216214;262551.69;1080426.97;584349.91;327084.79;62290.88;22224.09;84477.3;414994.18;118870.27
T1_1402;T1;1402;ALCANENA;2194867.19;1134177;9710.27;384164.68;113064.52;58286.22;81360.49;57819.47;73633.98;330339.41;336475.83
T1_1001;T1;1001;ALCOBAÇA;5901569.82;2589267;256379.52;1361860.56;326099.39;433101.34;362740.05;69350.41;170569.37;1023237.53;670825.21
T1_1502;T1;1502;ALCOCHETE;2209171.15;612055;167004.17;600827.75;99311.7;168190.12;113098.19;20780.89;199446.85;459094.5;370189.73
T1_0802;T1;0802;ALCOUTIM;1657379.69;1401450;27363.6;36278.21;6775.42;14190.11;11696.84;0;3615.84;82637.21;109650.67
T1_1101;T1;1101;ALENQUER;4586103.51;1543293;330979.13;968197.04;239202.64;257577.43;248387.42;0;223029.55;527318.92;1216315.42
T1_0401;T1;0401;ALFÂNDEGA DA FÉ;2133970.17;1299918;28593.37;99964.99;8470.63;10153.09;16433.21;618.21;64289.85;145353.38;560140.43
T1_1701;T1;1701;ALIJÓ;4781239.72;1449513;16820.72;182254.77;20123.36;61743.12;48439.56;22623.44;29325.29;395864.7;2736786.53
T1_0803;T1;0803;ALJEZUR;1853639.31;1039374;9513.62;419460.65;53105.81;293954.62;36861.05;0;35539.17;331787.48;53503.56
T1_0201;T1;0201;ALJUSTREL;2286172.72;1328583;203636.72;129047.82;18200.5;22155.12;47539.07;2414.58;38738.55;343941.44;280963.74
T1_1503;T1;1503;ALMADA;12354971.22;3932235;573957.93;4415028.18;1110383.29;1307503.8;955846.27;396907.55;644387.27;1610269.39;1823480.72
T1_0902;T1;0902;ALMEIDA;2707281.18;1712190;296550.62;164795.92;8657.53;4530.25;32129.08;0;119479.06;436818.62;96926.02
T1_1403;T1;1403;ALMEIRIM;2604689.55;1298712;114874.81;298761.16;98711.81;0;121588.25;26266.34;52194.76;447889.65;444451.93
T1_0202;T1;0202;ALMODÔVAR;2539303.49;1911561;7390.68;164227.2;7707.67;60587.09;38104.23;2030.01;55798.2;189013.41;267111.2
T1_1404;T1;1404;ALPIARÇA;1249138.36;747570;0;119359.77;28607.34;23833.45;27937.42;10601.15;28380.41;170677.57;211531.02
T1_1201;T1;1201;ALTER DO CHÃO;1534933.72;955755;128830.23;63936.37;10224.54;30748.43;15578.07;244.35;7140.98;176906.3;209505.82
T1_1002;T1;1002;ALVAIÁZERE;1931698.04;1026258;220463.72;85494.45;18473.49;10093.16;38854.32;0;18073.48;523180.64;76301.23
T1_0203;T1;0203;ALVITO;1081338.71;744015;1982.74;73251.98;5051.48;49829.29;11198.8;0;7172.41;127660.1;134428.89
T1_1115;T1;1115;AMADORA;15752520.14;6370333;16009.39;3186325.18;514514.37;1402452.24;857354.56;0;412004.01;2881095.19;3298757.38
T1_1301;T1;1301;AMARANTE;8033387.94;3345900;2062797.7;836818.67;168758.57;134220.53;282332.19;0;251507.38;1218164.14;569707.43
T1_0301;T1;0301;AMARES;2438261.06;1294794;72391.83;295155.31;84996.03;57202.16;100580.17;0;52376.95;294988.03;480931.89
T1_0103;T1;0103;ANADIA;6254960.9;1952256;2763458.15;478260.4;100436.82;146894.45;175331.03;24407.08;31191.02;616361.88;444624.47
T1_4301;T1;4301;ANGRA DO HEROÍSMO;3228707.34;2452801;3697.5;389520.21;58472.89;0;202249.06;0;128798.26;155116.94;227571.69
T1_1003;T1;1003;ANSIÃO;1987675.89;1190826;10327.35;294186.89;56465.34;37906.13;69537.42;24293.2;105984.8;404410.41;87925.24
T1_1601;T1;1601;ARCOS DE VALDEVEZ;4560090.76;2519634;311877.91;333838.05;37190.08;103289.49;116949.4;0;76409.08;932688.73;462052.07
T1_0601;T1;0601;ARGANIL;2371495.93;1461375;18986.32;216255.92;46600.47;15700.15;58620.74;0;95334.56;562645.39;112233.3
T1_1801;T1;1801;ARMAMAR;2577605.19;1062798;97983;159936.92;35926.28;25902.97;11451.52;2693.68;83962.47;632618.03;624269.24
T1_0104;T1;0104;AROUCA;3249196.51;1959855;128836.19;281638.36;52303.8;86414.67;99942.99;9548.72;33428.18;586651.08;292215.88
T1_0702;T1;0702;ARRAIOLOS;2352622.82;1452195;375711.02;116126.66;10167.86;64242.83;32588.99;3128.57;5998.41;276494.84;132095.3
T1_1202;T1;1202;ARRONCHES;1286544.15;909726;0;43198.84;2939.7;25541.39;11330.85;0;3386.9;139876.41;193742.9
T1_1102;T1;1102;ARRUDA DOS VINHOS;2149454.38;820921;0;307900.57;55561.78;59504.7;88741.84;24288.34;79803.91;682833.86;337798.95
T1_0105;T1;0105;AVEIRO;6312097.22;2000085;469907.89;2767783.82;354783.78;846555.51;528357.25;44416.43;993670.85;759403.14;314917.37
T1_1203;T1;1203;AVIS;1818418.37;1263153;121220.35;121980.61;4250.27;81282.84;22096.29;1419.83;12931.38;215769.58;96294.83
T1_1103;T1;1103;AZAMBUJA;3143979.48;1193215;0;1008704.76;140122.03;94634.57;300307.07;217970.25;255670.84;558284.04;383775.68
T1_1302;T1;1302;BAIÃO;3006640.42;1783683;157204.37;250278.39;20688;31515.83;82303.26;0;115771.3;366380.84;449093.82
T1_0302;T1;0302;BARCELOS;10943311.83;5631744;172204.33;2216039.72;366861.28;593999.13;687439.09;60949.2;506791.02;887426.5;2035897.28
T1_0204;T1;0204;BARRANCOS;880978.04;745599;5034.97;17317.84;378.37;6653.84;6327.95;0;3957.68;57997.39;55028.84
T1_1504;T1;1504;BARREIRO;7109874.74;2290368;326002.49;2344658.79;439420.54;279969.04;394296.63;43307.2;1187665.38;1841354.22;307491.24
T1_1004;T1;1004;BATALHA;1878272.23;934650;22278.44;433922.93;88731.67;98869.55;102525.68;27191.88;116604.15;210191.44;277229.42
T1_0205;T1;0205;BEJA;4510497.13;2508603;102541.92;721285.19;119134.99;331142.01;202994.19;8976.95;59037.05;945332.2;232734.82
T1_0501;T1;0501;BELMONTE;1294593.01;910674;92223.23;85190.5;19564.93;26810.34;32381.54;0;6433.69;169900.1;36605.18
T1_1405;T1;1405;BENAVENTE;3268004.73;1029111;284204.9;1124398.39;483088.61;388158.61;175208.52;25093.93;52848.72;366337.02;463953.42
T1_1005;T1;1005;BOMBARRAL;2408126.34;817621;369681.59;350276.19;60132.08;76688.38;81793.47;4240.97;127421.29;406865.79;463681.77
T1_0703;T1;0703;BORBA;1730596.72;853179;211511.34;100454.6;17679.44;24193.31;37941.35;4289.32;16351.18;240670.88;324780.9
